# X	Z
6.400000000000000133e-01	2.098321197592011078e+00
6.500000000000000222e-01	2.133125292843853327e+00
6.600000000000000311e-01	2.167956137086906931e+00
6.700000000000000400e-01	2.202811798047885183e+00
6.800000000000000488e-01	2.237690333527145192e+00
6.900000000000000577e-01	2.272589792175541579e+00
7.000000000000000666e-01	2.307508214274939906e+00
7.099999999999999645e-01	2.342443632522078545e+00
7.199999999999999734e-01	2.377394072815463666e+00
7.299999999999999822e-01	2.412357555044982504e+00
7.399999999999999911e-01	2.447332093883922699e+00
7.500000000000000000e-01	2.482315699583073965e+00
7.600000000000000089e-01	2.517306378766605235e+00
7.700000000000000178e-01	2.552302135229383317e+00
7.800000000000000266e-01	2.587300970735433303e+00
7.900000000000000355e-01	2.622300885817201888e+00
8.000000000000000444e-01	2.657299880575322071e+00
8.100000000000000533e-01	2.692295955478543057e+00
8.200000000000000622e-01	2.727287112163515825e+00
8.300000000000000711e-01	2.762271354234115073e+00
8.399999999999999689e-01	2.797246688059967568e+00
8.499999999999999778e-01	2.832211123573880940e+00
8.599999999999999867e-01	2.867162675067841171e+00
8.699999999999999956e-01	2.902099361987269255e+00
8.800000000000000044e-01	2.937019209723220392e+00
8.900000000000000133e-01	2.971920250402195762e+00
9.000000000000000222e-01	3.006800523673271996e+00
9.100000000000000311e-01	3.041658077492208623e+00
9.200000000000000400e-01	3.076490968902245271e+00
9.300000000000000488e-01	3.111297264811255125e+00
9.400000000000000577e-01	3.146075042764958418e+00
9.500000000000000666e-01	3.180822391715875774e+00
9.599999999999999645e-01	3.215537412787724314e+00
9.699999999999999734e-01	3.250218220034941652e+00
9.799999999999999822e-01	3.284862941197038477e+00
9.899999999999999911e-01	3.319469718447479067e+00
1.000000000000000000e+00	3.354036709136785532e+00
1.010000000000000009e+00	3.388562086529574913e+00
1.020000000000000018e+00	3.423044040535228039e+00
1.030000000000000027e+00	3.457480778431900603e+00
1.040000000000000036e+00	3.491870525583590013e+00
1.050000000000000044e+00	3.526211526149964470e+00
1.060000000000000053e+00	3.560502043788677184e+00
1.070000000000000062e+00	3.594740362349877927e+00
1.080000000000000071e+00	3.628924786562653271e+00
1.090000000000000080e+00	3.663053642713109515e+00
1.100000000000000089e+00	3.697125279313836721e+00
1.110000000000000098e+00	3.731138067764482535e+00
1.120000000000000107e+00	3.765090403003170216e+00
1.130000000000000115e+00	3.798980704148501086e+00
1.140000000000000124e+00	3.832807415131886941e+00
1.150000000000000133e+00	3.866569005319956176e+00
1.159999999999999920e+00	3.900263970126787605e+00
1.169999999999999929e+00	3.933890831615725503e+00
1.179999999999999938e+00	3.967448139090529846e+00
1.189999999999999947e+00	4.000934469675641481e+00
1.199999999999999956e+00	4.034348428885310867e+00
1.209999999999999964e+00	4.067688651181372350e+00
1.219999999999999973e+00	4.100953800519443249e+00
1.229999999999999982e+00	4.134142570883323486e+00
1.239999999999999991e+00	4.167253686807383062e+00
1.250000000000000000e+00	4.200285903886733507e+00
1.260000000000000009e+00	4.233238009274971958e+00
1.270000000000000018e+00	4.266108822169305981e+00
1.280000000000000027e+00	4.298897194282852219e+00
1.290000000000000036e+00	4.331602010303944539e+00
1.300000000000000044e+00	4.364222188342236741e+00
1.310000000000000053e+00	4.396756680361450620e+00
1.320000000000000062e+00	4.429204472598570419e+00
1.330000000000000071e+00	4.461564585969338026e+00
1.340000000000000080e+00	4.493836076459873041e+00
1.350000000000000089e+00	4.526018035504265846e+00
1.360000000000000098e+00	4.558109590347990014e+00
1.370000000000000107e+00	4.590109904396995510e+00
1.380000000000000115e+00	4.622018177552333462e+00
1.390000000000000124e+00	4.653833646530184609e+00
1.400000000000000133e+00	4.685555585167165304e+00
1.409999999999999920e+00	4.717183304710776071e+00
1.419999999999999929e+00	4.748716154094906550e+00
1.429999999999999938e+00	4.780153520200237871e+00
1.439999999999999947e+00	4.811494828099493581e+00
1.449999999999999956e+00	4.842739541287397032e+00
1.459999999999999964e+00	4.873887161895270381e+00
1.469999999999999973e+00	4.904937230890171307e+00
1.479999999999999982e+00	4.935889328258501685e+00
1.489999999999999991e+00	4.966743073174009204e+00
1.500000000000000000e+00	4.997498124150110854e+00
1.510000000000000009e+00	5.028154179176484107e+00
1.520000000000000018e+00	5.058710975839865398e+00
1.530000000000000027e+00	5.089168291429011504e+00
1.540000000000000036e+00	5.119525943023786496e+00
1.550000000000000044e+00	5.149783787568320115e+00
1.560000000000000053e+00	5.179941721928232212e+00
1.570000000000000062e+00	5.209999682931885090e+00
1.580000000000000071e+00	5.239957647395650397e+00
1.590000000000000080e+00	5.269815632133180827e+00
1.600000000000000089e+00	5.299573693948688380e+00
1.610000000000000098e+00	5.329231929614222096e+00
1.620000000000000107e+00	5.358790475830957689e+00
1.630000000000000115e+00	5.388249509174523055e+00
1.640000000000000124e+00	5.417609246024368552e+00
1.650000000000000133e+00	5.446869942477216675e+00
1.660000000000000142e+00	5.476031894244629328e+00
1.669999999999999929e+00	5.505095436534724662e+00
1.679999999999999938e+00	5.534060943918102105e+00
1.689999999999999947e+00	5.562928830178015538e+00
1.699999999999999956e+00	5.591699548144864806e+00
1.709999999999999964e+00	5.620373589515074819e+00
1.719999999999999973e+00	5.648951484654416433e+00
1.729999999999999982e+00	5.677433802385873918e+00
1.739999999999999991e+00	5.705821149762119404e+00
1.750000000000000000e+00	5.734114171822699113e+00
1.760000000000000009e+00	5.762313551336030848e+00
1.770000000000000018e+00	5.790420008526300677e+00
1.780000000000000027e+00	5.818434300785385815e+00
1.790000000000000036e+00	5.846357222369907625e+00
1.800000000000000044e+00	5.874189604083536409e+00
1.810000000000000053e+00	5.901932312944687453e+00
1.820000000000000062e+00	5.929586251839718436e+00
1.830000000000000071e+00	5.957152359161790756e+00
1.840000000000000080e+00	5.984631608435526218e+00
1.850000000000000089e+00	6.012025007927602083e+00
1.860000000000000098e+00	6.039333600243470102e+00
1.870000000000000107e+00	6.066558461910318556e+00
1.880000000000000115e+00	6.093700702946478032e+00
1.890000000000000124e+00	6.120761466417432572e+00
1.900000000000000133e+00	6.147741927978604082e+00
1.910000000000000142e+00	6.174643295405108034e+00
1.919999999999999929e+00	6.201466808108659023e+00
1.929999999999999938e+00	6.228213736641823317e+00
1.939999999999999947e+00	6.254885382189813825e+00
1.949999999999999956e+00	6.281483076050035308e+00
1.959999999999999964e+00	6.308008179099577006e+00
1.969999999999999973e+00	6.334462081250890719e+00
1.979999999999999982e+00	6.360846200895833746e+00
1.989999999999999991e+00	6.387161984338337817e+00
